"","date","state","cases","variant","status","data"
"128",2021-04-14,"Malaysia",0,"Delta B.1.617.2","voc","inc"
"129",2021-04-14,"Malaysia",0,"Eta B.1.525","voi","inc"
"130",2021-04-14,"Malaysia",0,"Theta P.3","voi","inc"
"131",2021-05-02,"Johor",0,"Beta B.1.351","voc","inc"
"132",2021-05-02,"Selangor",0,"Alpha B.1.1.7","voc","inc"
"133",2021-05-02,"Selangor",0,"Delta B.1.617.2","voc","inc"
"134",2021-05-02,"Selangor",0,"Eta B.1.525","voi","inc"
"135",2021-05-02,"Selangor",0,"Theta P.3","voi","inc"
"136",2021-05-02,"Kedah",0,"Beta B.1.351","voc","inc"
"137",2021-05-02,"Sarawak",0,"Alpha B.1.1.7","voc","inc"
"138",2021-05-02,"Sarawak",0,"Delta B.1.617.2","voc","inc"
"139",2021-05-02,"Sarawak",0,"Eta B.1.525","voi","inc"
"140",2021-05-02,"Sarawak",0,"Theta P.3","voi","inc"
"141",2021-05-02,"Kelantan",10,"Beta B.1.351","voc","inc"
"142",2021-05-02,"Kelantan",0,"Alpha B.1.1.7","voc","inc"
"143",2021-05-02,"Kelantan",0,"Delta B.1.617.2","voc","inc"
"144",2021-05-02,"Kelantan",0,"Eta B.1.525","voi","inc"
"145",2021-05-02,"Kelantan",0,"Theta P.3","voi","inc"
"146",2021-05-02,"Malaysia",50,"Beta B.1.351","voc","inc"
"147",2021-05-02,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc","inc"
"148",2021-05-02,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc","inc"
"149",2021-05-02,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi","inc"
"150",2021-05-02,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"151",2021-05-02,"Negeri Sembilan",0,"Beta B.1.351","voc","inc"
"152",2021-05-02,"Perak",0,"Alpha B.1.1.7","voc","inc"
"153",2021-05-02,"Perak",0,"Delta B.1.617.2","voc","inc"
"154",2021-05-02,"Perak",0,"Eta B.1.525","voi","inc"
"155",2021-05-02,"Perak",0,"Theta P.3","voi","inc"
"156",2021-05-02,"Perak",10,"Beta B.1.351","voc","inc"
"157",2021-05-02,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"158",2021-05-02,"Kedah",0,"Delta B.1.617.2","voc","inc"
"159",2021-05-02,"Kedah",0,"Eta B.1.525","voi","inc"
"160",2021-05-02,"Kedah",0,"Theta P.3","voi","inc"
"161",2021-05-02,"Perlis",0,"Beta B.1.351","voc","inc"
"162",2021-05-02,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"163",2021-05-02,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"164",2021-05-02,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"165",2021-05-02,"Pulau Pinang",0,"Theta P.3","voi","inc"
"166",2021-05-02,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"167",2021-05-02,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"168",2021-05-02,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"169",2021-05-02,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"170",2021-05-02,"Negeri Sembilan",0,"Theta P.3","voi","inc"
"171",2021-05-02,"Sabah",1,"Beta B.1.351","voc","inc"
"172",2021-05-02,"Johor",0,"Alpha B.1.1.7","voc","inc"
"173",2021-05-02,"Johor",0,"Delta B.1.617.2","voc","inc"
"174",2021-05-02,"Johor",0,"Eta B.1.525","voi","inc"
"175",2021-05-02,"Johor",0,"Theta P.3","voi","inc"
"176",2021-05-02,"Sarawak",0,"Beta B.1.351","voc","inc"
"177",2021-05-02,"Perlis",0,"Alpha B.1.1.7","voc","inc"
"178",2021-05-02,"Perlis",0,"Delta B.1.617.2","voc","inc"
"179",2021-05-02,"Perlis",0,"Eta B.1.525","voi","inc"
"180",2021-05-02,"Perlis",0,"Theta P.3","voi","inc"
"181",2021-05-02,"Selangor",16,"Beta B.1.351","voc","inc"
"182",2021-05-02,"W.P. Labuan",0,"Alpha B.1.1.7","voc","inc"
"183",2021-05-02,"W.P. Labuan",0,"Delta B.1.617.2","voc","inc"
"184",2021-05-02,"W.P. Labuan",0,"Eta B.1.525","voi","inc"
"185",2021-05-02,"W.P. Labuan",0,"Theta P.3","voi","inc"
"186",2021-05-02,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc","inc"
"187",2021-05-02,"Sabah",0,"Alpha B.1.1.7","voc","inc"
"188",2021-05-02,"Sabah",0,"Delta B.1.617.2","voc","inc"
"189",2021-05-02,"Sabah",0,"Eta B.1.525","voi","inc"
"190",2021-05-02,"Sabah",0,"Theta P.3","voi","inc"
"191",2021-05-02,"W.P. Labuan",0,"Beta B.1.351","voc","inc"
"192",2021-05-02,"Malaysia",0,"Alpha B.1.1.7","voc","inc"
"193",2021-05-02,"Malaysia",0,"Delta B.1.617.2","voc","inc"
"194",2021-05-02,"Malaysia",0,"Eta B.1.525","voi","inc"
"195",2021-05-02,"Malaysia",0,"Theta P.3","voi","inc"
"196",2021-05-12,"Johor",0,"Beta B.1.351","voc","inc"
"197",2021-05-12,"Selangor",0,"Alpha B.1.1.7","voc","inc"
"198",2021-05-12,"Selangor",0,"Delta B.1.617.2","voc","inc"
"199",2021-05-12,"Selangor",0,"Eta B.1.525","voi","inc"
"200",2021-05-12,"Selangor",0,"Theta P.3","voi","inc"
"201",2021-05-12,"Kedah",1,"Beta B.1.351","voc","inc"
"202",2021-05-12,"Sarawak",0,"Alpha B.1.1.7","voc","inc"
"203",2021-05-12,"Sarawak",0,"Delta B.1.617.2","voc","inc"
"204",2021-05-12,"Sarawak",0,"Eta B.1.525","voi","inc"
"205",2021-05-12,"Sarawak",0,"Theta P.3","voi","inc"
"206",2021-05-12,"Kelantan",17,"Beta B.1.351","voc","inc"
"207",2021-05-12,"Kelantan",0,"Alpha B.1.1.7","voc","inc"
"208",2021-05-12,"Kelantan",0,"Delta B.1.617.2","voc","inc"
"209",2021-05-12,"Kelantan",0,"Eta B.1.525","voi","inc"
"210",2021-05-12,"Kelantan",0,"Theta P.3","voi","inc"
"211",2021-05-12,"Malaysia",62,"Beta B.1.351","voc","inc"
"212",2021-05-12,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc","inc"
"213",2021-05-12,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc","inc"
"214",2021-05-12,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi","inc"
"215",2021-05-12,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"216",2021-05-12,"Negeri Sembilan",1,"Beta B.1.351","voc","inc"
"217",2021-05-12,"Perak",0,"Alpha B.1.1.7","voc","inc"
"218",2021-05-12,"Perak",0,"Delta B.1.617.2","voc","inc"
"219",2021-05-12,"Perak",0,"Eta B.1.525","voi","inc"
"220",2021-05-12,"Perak",0,"Theta P.3","voi","inc"
"221",2021-05-12,"Perak",10,"Beta B.1.351","voc","inc"
"222",2021-05-12,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"223",2021-05-12,"Kedah",0,"Delta B.1.617.2","voc","inc"
"224",2021-05-12,"Kedah",0,"Eta B.1.525","voi","inc"
"225",2021-05-12,"Kedah",0,"Theta P.3","voi","inc"
"226",2021-05-12,"Perlis",0,"Beta B.1.351","voc","inc"
"227",2021-05-12,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"228",2021-05-12,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"229",2021-05-12,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"230",2021-05-12,"Pulau Pinang",0,"Theta P.3","voi","inc"
"231",2021-05-12,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"232",2021-05-12,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"233",2021-05-12,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"234",2021-05-12,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"235",2021-05-12,"Negeri Sembilan",0,"Theta P.3","voi","inc"
"236",2021-05-12,"Sabah",1,"Beta B.1.351","voc","inc"
"237",2021-05-12,"Johor",0,"Alpha B.1.1.7","voc","inc"
"238",2021-05-12,"Johor",0,"Delta B.1.617.2","voc","inc"
"239",2021-05-12,"Johor",0,"Eta B.1.525","voi","inc"
"240",2021-05-12,"Johor",0,"Theta P.3","voi","inc"
"241",2021-05-12,"Sarawak",0,"Beta B.1.351","voc","inc"
"242",2021-05-12,"Perlis",0,"Alpha B.1.1.7","voc","inc"
"243",2021-05-12,"Perlis",0,"Delta B.1.617.2","voc","inc"
"244",2021-05-12,"Perlis",0,"Eta B.1.525","voi","inc"
"245",2021-05-12,"Perlis",0,"Theta P.3","voi","inc"
"246",2021-05-12,"Selangor",16,"Beta B.1.351","voc","inc"
"247",2021-05-12,"W.P. Labuan",0,"Alpha B.1.1.7","voc","inc"
"248",2021-05-12,"W.P. Labuan",0,"Delta B.1.617.2","voc","inc"
"249",2021-05-12,"W.P. Labuan",0,"Eta B.1.525","voi","inc"
"250",2021-05-12,"W.P. Labuan",0,"Theta P.3","voi","inc"
"251",2021-05-12,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc","inc"
"252",2021-05-12,"Sabah",0,"Alpha B.1.1.7","voc","inc"
"253",2021-05-12,"Sabah",0,"Delta B.1.617.2","voc","inc"
"254",2021-05-12,"Sabah",0,"Eta B.1.525","voi","inc"
"255",2021-05-12,"Sabah",0,"Theta P.3","voi","inc"
"256",2021-05-12,"W.P. Labuan",0,"Beta B.1.351","voc","inc"
"257",2021-05-12,"Malaysia",0,"Alpha B.1.1.7","voc","inc"
"258",2021-05-12,"Malaysia",0,"Delta B.1.617.2","voc","inc"
"259",2021-05-12,"Malaysia",0,"Eta B.1.525","voi","inc"
"260",2021-05-12,"Malaysia",0,"Theta P.3","voi","inc"
"261",2021-05-17,"Johor",0,"Beta B.1.351","voc","inc"
"262",2021-05-17,"Selangor",0,"Alpha B.1.1.7","voc","inc"
"263",2021-05-17,"Selangor",0,"Delta B.1.617.2","voc","inc"
"264",2021-05-17,"Selangor",0,"Eta B.1.525","voi","inc"
"265",2021-05-17,"Selangor",0,"Theta P.3","voi","inc"
"266",2021-05-17,"Kedah",1,"Beta B.1.351","voc","inc"
"267",2021-05-17,"Sarawak",0,"Alpha B.1.1.7","voc","inc"
"268",2021-05-17,"Sarawak",0,"Delta B.1.617.2","voc","inc"
"269",2021-05-17,"Sarawak",0,"Eta B.1.525","voi","inc"
"270",2021-05-17,"Sarawak",0,"Theta P.3","voi","inc"
